Tenant Name,City,Property Type,BHK,Size (Sq.Ft),Furnishing,Rent (₹/month),Property Age (yrs),Contact No.,Email ID,Availability Date
Rati Chopra,Mumbai,Independent,3,1059,Semi-Furnished,29567,14,9513314579,ratichopra@gmail.com,23-11-25
Pihu Chopra,Jaipur,Independent,2,1969,Semi-Furnished,66998,0,9149057471,pihuchopra@gmail.com,20-12-25
Ivan Kulkarni,Bangalore,Villa,2,1644,Semi-Furnished,73091,13,9186218853,ivankulkarni@gmail.com,23-11-25
Biju Hayre,Mumbai,Independent,1,2292,Semi-Furnished,168759,4,9047117948,bijuhayre@gmail.com,01-12-25
Hunar Sundaram,Chennai,Villa,3,1666,Unfurnished,39071,8,9589632878,hunarsundaram@gmail.com,10-12-25
Aarav Gokhale,Bangalore,Apartment,3,1622,Semi-Furnished,107333,15,9120993871,aaravgokhale@gmail.com,16-11-25
Kaira Banerjee,Kolkata,Independent,1,949,Unfurnished,19911,20,9979687177,kairabanerjee@gmail.com,11-12-25
Mamooty Guha,Chennai,Studio,3,1485,Furnished,58103,5,9410848098,mamootyguha@gmail.com,18-10-25
Chirag Basak,Pune,Independent,3,2148,Unfurnished,88784,12,9307660263,chiragbasak@gmail.com,31-10-25
Nehmat Chander,Nagpur,Independent,2,1740,Semi-Furnished,38123,9,9199710467,nehmatchander@gmail.com,20-11-25
Kartik Garg,Hyderabad,Studio,1,1137,Semi-Furnished,50331,4,9553717108,kartikgarg@gmail.com,04-12-25
Alisha Mane,Delhi,Independent,2,2110,Unfurnished,58148,16,9882537908,alishamane@gmail.com,27-12-25
Parinaaz Lala,Jaipur,Villa,3,594,Unfurnished,19175,6,9637877959,parinaazlala@gmail.com,10-10-25
Khushi Banik,Pune,Studio,5,1423,Unfurnished,36082,19,9758923528,khushibanik@gmail.com,28-11-25
Nirvaan Kapur,Pune,Apartment,4,2286,Furnished,102770,1,9693038156,nirvaankapur@gmail.com,09-10-25
Shalv Kota,Nagpur,Studio,5,2190,Furnished,72280,19,9186062870,shalvkota@gmail.com,08-12-25
Nehmat Dua,Bangalore,Independent,3,2487,Semi-Furnished,72816,13,9262982553,nehmatdua@gmail.com,18-11-25
Kartik Sankaran,Pune,Apartment,4,468,Semi-Furnished,19451,12,9187070477,kartiksankaran@gmail.com,10-10-25
Sana Contractor,Indore,Studio,4,1607,Furnished,22021,0,9848328167,sanacontractor@gmail.com,17-11-25
Misha Shere,Pune,Studio,5,1329,Semi-Furnished,28639,8,9417668444,mishashere@gmail.com,26-12-25
Himmat Dani,Hyderabad,Independent,2,1942,Unfurnished,77265,18,9110148900,himmatdani@gmail.com,13-12-25
Myra Kanda,Bangalore,Studio,5,1631,Furnished,91214,18,9781500194,myrakanda@gmail.com,30-10-25
Pari Srinivasan,Delhi,Villa,3,1168,Semi-Furnished,25851,0,9883909245,parisrinivasan@gmail.com,15-10-25
Saksham Chawla,Bangalore,Independent,1,1073,Semi-Furnished,56657,2,9652279744,sakshamchawla@gmail.com,08-11-25
Sahil Raju,Mumbai,Independent,3,1398,Semi-Furnished,93707,0,9514950583,sahilraju@gmail.com,13-10-25
Diya Shankar,Indore,Villa,5,1316,Unfurnished,23030,12,9832489174,diyashankar@gmail.com,11-11-25
Shray Chanda,Indore,Studio,3,711,Semi-Furnished,14904,16,9269857681,shraychanda@gmail.com,12-11-25
Renee Dani,Kolkata,Independent,3,938,Semi-Furnished,36114,7,9553790321,reneedani@gmail.com,11-12-25
Divit Vala,Jaipur,Apartment,3,404,Semi-Furnished,5678,19,9808051005,divitvala@gmail.com,23-10-25
Indrajit Hans,Delhi,Villa,1,2328,Furnished,91791,4,9688171494,indrajithans@gmail.com,30-10-25
Vivaan Shetty,Chennai,Independent,1,1872,Unfurnished,75620,12,9149278970,vivaanshetty@gmail.com,19-10-25
Indranil Dhawan,Indore,Villa,3,1814,Semi-Furnished,46140,18,9151669018,indranildhawan@gmail.com,15-11-25
Aarush Dixit,Nagpur,Villa,5,2264,Furnished,51885,7,9113381994,aarushdixit@gmail.com,25-11-25
Dhanush Bandi,Kolkata,Apartment,2,858,Furnished,28298,19,9168235225,dhanushbandi@gmail.com,26-12-25
Pari Sagar,Bangalore,Independent,5,2117,Semi-Furnished,73107,5,9428262063,parisagar@gmail.com,01-11-25
Lavanya Yadav,Chennai,Independent,4,1200,Semi-Furnished,65432,19,9556346314,lavanyayadav@gmail.com,17-10-25
Armaan Gopal,Hyderabad,Studio,3,2410,Furnished,94351,13,9611031328,armaangopal@gmail.com,19-12-25
Samarth Batra,Pune,Villa,2,2107,Semi-Furnished,41676,13,9373396712,samarthbatra@gmail.com,31-12-25
Ayesha Gara,Delhi,Apartment,3,880,Furnished,27687,7,9089583029,ayeshagara@gmail.com,15-11-25
Vaibhav Bawa,Pune,Villa,2,1847,Furnished,57373,0,9427613880,vaibhavbawa@gmail.com,15-11-25
Zara Mani,Indore,Independent,3,1859,Unfurnished,45593,8,9868761493,zaramani@gmail.com,31-12-25
Tejas Bawa,Chennai,Independent,4,1771,Semi-Furnished,77209,0,9712912519,tejasbawa@gmail.com,29-10-25
Baiju Divan,Chennai,Studio,2,1667,Furnished,81593,9,9084492571,baijudivan@gmail.com,25-10-25
Siya Sandal,Pune,Apartment,4,1166,Unfurnished,38940,8,9969495321,siyasandal@gmail.com,21-10-25
Nirvi Raju,Delhi,Studio,5,437,Furnished,16531,15,9893671948,nirviraju@gmail.com,21-12-25
Rhea Dave,Kolkata,Studio,4,1415,Furnished,26951,4,9957330948,rheadave@gmail.com,08-11-25
Chirag Boase,Nagpur,Apartment,4,2179,Furnished,29955,17,9534379396,chiragboase@gmail.com,15-12-25
Rohan Rattan,Nagpur,Studio,4,1684,Semi-Furnished,25108,5,9943381844,rohanrattan@gmail.com,12-12-25
Jayesh Kulkarni,Mumbai,Independent,5,568,Furnished,15850,0,9814276963,jayeshkulkarni@gmail.com,17-12-25
Piya Bhatti,Mumbai,Studio,3,2297,Unfurnished,131698,17,9845457825,piyabhatti@gmail.com,11-11-25
Kartik Tara,Delhi,Apartment,2,2332,Unfurnished,70368,5,9446176291,kartiktara@gmail.com,22-11-25
Kimaya Sarkar,Delhi,Apartment,1,1111,Unfurnished,63271,20,9666307769,kimayasarkar@gmail.com,06-12-25
Ritvik Brahmbhatt,Nagpur,Villa,3,2099,Furnished,78308,3,9975559463,ritvikbrahmbhatt@gmail.com,16-11-25
Urvi Tak,Mumbai,Villa,3,1901,Furnished,92996,0,9019460556,urvitak@gmail.com,09-10-25
Samar Devi,Hyderabad,Villa,4,616,Semi-Furnished,28093,3,9073799384,samardevi@gmail.com,05-12-25
Anay Gara,Delhi,Apartment,2,799,Semi-Furnished,32675,15,9878422072,anaygara@gmail.com,17-12-25
Zara Bala,Bangalore,Studio,2,1539,Furnished,56421,3,9608874104,zarabala@gmail.com,25-12-25
Akarsh Ganesh,Chennai,Studio,5,2333,Semi-Furnished,116689,6,9237929682,akarshganesh@gmail.com,19-11-25
Advik Kadakia,Hyderabad,Independent,5,1224,Unfurnished,30326,6,9567901435,advikkadakia@gmail.com,13-11-25
Aayush Raju,Mumbai,Apartment,5,1874,Semi-Furnished,118905,12,9493663237,aayushraju@gmail.com,04-10-25
Samaira Master,Jaipur,Independent,2,955,Furnished,23684,8,9017252983,samairamaster@gmail.com,12-11-25
Inaaya  Kala,Nagpur,Apartment,3,2365,Furnished,35557,12,9621240392,inaayakala@gmail.com,17-11-25
Arhaan Vora,Indore,Villa,4,724,Furnished,20601,16,9232898068,arhaanvora@gmail.com,24-12-25
Hiran Sanghvi,Delhi,Apartment,5,468,Furnished,15461,19,9525419470,hiransanghvi@gmail.com,23-12-25
Seher Chana,Bangalore,Apartment,1,847,Furnished,23071,16,9713029465,seherchana@gmail.com,02-12-25
Ehsaan Raju,Hyderabad,Studio,1,586,Unfurnished,17333,13,9742941992,ehsaanraju@gmail.com,03-11-25
Romil Bahl,Bangalore,Apartment,5,2295,Semi-Furnished,75227,4,9198151420,romilbahl@gmail.com,14-12-25
Anya Loke,Indore,Villa,4,1920,Semi-Furnished,63468,0,9202578972,anyaloke@gmail.com,19-12-25
Lakshay Bahri,Nagpur,Studio,1,1270,Semi-Furnished,33216,20,9052986481,lakshaybahri@gmail.com,19-12-25
Sara Das,Delhi,Villa,1,2450,Semi-Furnished,87383,3,9774781969,saradas@gmail.com,12-12-25
Anay Balan,Pune,Studio,3,1863,Furnished,86083,10,9424370231,anaybalan@gmail.com,11-10-25
Jivin Sarna,Nagpur,Villa,1,1965,Furnished,41864,7,9401977565,jivinsarna@gmail.com,23-10-25
Dhanush Keer,Delhi,Independent,5,542,Unfurnished,15291,4,9821990567,dhanushkeer@gmail.com,24-10-25
Renee Gaba,Bangalore,Villa,2,1862,Furnished,106027,11,9878476924,reneegaba@gmail.com,05-10-25
Aaryahi Sachdeva,Pune,Apartment,3,1281,Unfurnished,51274,4,9260908722,aaryahisachdeva@gmail.com,25-12-25
Vihaan Choudhary,Pune,Studio,1,781,Semi-Furnished,13594,6,9194152227,vihaanchoudhary@gmail.com,13-11-25
Ahana  Suri,Jaipur,Studio,4,2348,Furnished,41393,19,9129763501,ahanasuri@gmail.com,08-10-25
Hrishita Sengupta,Nagpur,Independent,3,2471,Semi-Furnished,35656,8,9444228609,hrishitasengupta@gmail.com,05-10-25
Kashvi Karpe,Kolkata,Independent,4,611,Semi-Furnished,12004,14,9790965044,kashvikarpe@gmail.com,04-12-25
Sana Gade,Kolkata,Apartment,2,2202,Unfurnished,86670,18,9992935597,sanagade@gmail.com,18-11-25
Lakshay Maharaj,Chennai,Villa,1,1295,Furnished,32321,1,9672283323,lakshaymaharaj@gmail.com,12-10-25
Devansh Subramanian,Jaipur,Studio,3,624,Semi-Furnished,13777,14,9293183781,devanshsubramanian@gmail.com,28-11-25
Nitya Ghose,Kolkata,Independent,5,1992,Unfurnished,85809,5,9516472560,nityaghose@gmail.com,26-11-25
Kaira Balan,Kolkata,Studio,1,1654,Furnished,64530,3,9981374919,kairabalan@gmail.com,29-12-25
Mishti Butala,Hyderabad,Apartment,4,2147,Furnished,98604,14,9402018726,mishtibutala@gmail.com,03-11-25
Badal Sen,Chennai,Apartment,4,571,Unfurnished,17984,1,9856611990,badalsen@gmail.com,27-11-25
Badal Singhal,Jaipur,Villa,5,886,Furnished,34972,6,9776909556,badalsinghal@gmail.com,28-12-25
Saira Bhavsar,Jaipur,Independent,1,805,Unfurnished,16484,20,9214081801,sairabhavsar@gmail.com,23-10-25
Nitya Bhavsar,Mumbai,Villa,5,1172,Furnished,70999,4,9630234552,nityabhavsar@gmail.com,14-10-25
Urvi Badami,Bangalore,Studio,1,1349,Unfurnished,56601,20,9607270887,urvibadami@gmail.com,14-10-25
Lavanya Chacko,Pune,Apartment,5,1809,Semi-Furnished,56006,16,9322310754,lavanyachacko@gmail.com,17-11-25
Vaibhav Bala,Chennai,Independent,4,694,Furnished,21110,3,9991850436,vaibhavbala@gmail.com,19-12-25
Bhamini Raman,Delhi,Independent,1,751,Furnished,44130,15,9429744222,bhaminiraman@gmail.com,27-10-25
Hrishita Deep,Chennai,Apartment,1,498,Furnished,11832,1,9158431248,hrishitadeep@gmail.com,16-11-25
Anvi Goda,Indore,Apartment,4,1854,Semi-Furnished,22953,16,9782731929,anvigoda@gmail.com,26-10-25
Trisha Mane,Delhi,Studio,5,555,Furnished,32636,16,9853545932,trishamane@gmail.com,09-10-25
Zoya Khosla,Bangalore,Studio,1,571,Semi-Furnished,38613,0,9759701480,zoyakhosla@gmail.com,09-11-25
Yasmin Bobal,Pune,Apartment,2,2159,Semi-Furnished,85705,17,9629373483,yasminbobal@gmail.com,28-12-25
Hridaan Kothari,Bangalore,Apartment,1,1308,Semi-Furnished,66118,10,9531417108,hridaankothari@gmail.com,02-11-25
Eva Arora,Pune,Apartment,1,1039,Furnished,34491,8,9691735022,evaarora@gmail.com,16-11-25
Yashvi Sant,Mumbai,Studio,2,1164,Furnished,55575,19,9840798421,yashvisant@gmail.com,22-10-25
Ivana Yogi,Jaipur,Studio,4,2316,Unfurnished,78941,8,9395666053,ivanayogi@gmail.com,12-10-25
Riya Taneja,Delhi,Villa,1,489,Unfurnished,28514,17,9374415075,riyataneja@gmail.com,12-10-25
Myra Borah,Pune,Apartment,3,960,Semi-Furnished,22019,7,9598373553,myraborah@gmail.com,03-12-25
Saksham Gara,Delhi,Studio,2,1744,Semi-Furnished,69571,18,9262189027,sakshamgara@gmail.com,18-11-25
Taran Sachdev,Bangalore,Independent,3,2419,Unfurnished,73297,9,9204233993,taransachdev@gmail.com,16-11-25
Shalv Behl,Mumbai,Villa,4,2474,Unfurnished,156332,5,9820554517,shalvbehl@gmail.com,07-10-25
Yuvaan Varghese,Hyderabad,Villa,3,1659,Furnished,47546,14,9051973319,yuvaanvarghese@gmail.com,28-10-25
Miraya Manne,Pune,Studio,4,2109,Furnished,101246,17,9507424608,mirayamanne@gmail.com,16-10-25
Lakshit Mannan,Chennai,Studio,5,1233,Unfurnished,53108,5,9762569045,lakshitmannan@gmail.com,06-10-25
Kabir Thakur,Mumbai,Independent,2,543,Unfurnished,19064,3,9559706140,kabirthakur@gmail.com,07-11-25
Aarush Amble,Pune,Villa,1,2065,Unfurnished,38842,13,9638336357,aarushamble@gmail.com,21-11-25
Veer Sundaram,Pune,Villa,2,1427,Unfurnished,47423,17,9653990667,veersundaram@gmail.com,18-10-25
Shayak Badal,Pune,Apartment,1,1886,Furnished,52543,2,9819295255,shayakbadal@gmail.com,28-12-25
Taran Kapoor,Mumbai,Studio,1,1317,Furnished,68246,1,9108169875,tarankapoor@gmail.com,14-11-25
Akarsh Sethi,Delhi,Independent,5,1175,Unfurnished,39083,13,9216515040,akarshsethi@gmail.com,18-12-25
Shamik Vala,Delhi,Studio,5,1467,Unfurnished,50049,18,9228756479,shamikvala@gmail.com,27-11-25
Yakshit Vaidya,Indore,Studio,2,658,Unfurnished,17435,18,9361225549,yakshitvaidya@gmail.com,11-12-25
Jayesh Hora,Bangalore,Villa,4,596,Semi-Furnished,34869,11,9160195257,jayeshhora@gmail.com,04-11-25
Keya Chopra,Indore,Apartment,2,1654,Furnished,48187,13,9702229547,keyachopra@gmail.com,14-10-25
Sana Chaudhuri,Kolkata,Independent,1,840,Semi-Furnished,25774,14,9326794754,sanachaudhuri@gmail.com,09-10-25
Aradhya Dayal,Indore,Apartment,3,1744,Furnished,39264,18,9689955489,aradhyadayal@gmail.com,24-11-25
Jayant Aurora,Delhi,Studio,2,710,Furnished,31535,8,9754000243,jayantaurora@gmail.com,27-10-25
Aarna Borde,Delhi,Villa,1,1000,Unfurnished,27083,10,9394986842,aarnaborde@gmail.com,20-10-25
Shaan Aggarwal,Nagpur,Apartment,5,1397,Furnished,27950,10,9076371065,shaanaggarwal@gmail.com,01-11-25
Devansh Sawhney,Mumbai,Apartment,3,897,Semi-Furnished,28475,11,9231906287,devanshsawhney@gmail.com,01-11-25
Taimur Tank,Indore,Studio,1,405,Unfurnished,10734,1,9086994153,taimurtank@gmail.com,31-10-25
Purab Tandon,Mumbai,Apartment,4,1493,Semi-Furnished,46365,0,9274961218,purabtandon@gmail.com,26-12-25
